book_name,author,genre,summary
True Names,Vernor Vinge,"{""/m/06n90"": ""Science Fiction"", ""/m/01hmnh"": ""Fantasy"", ""/m/02xlf"": ""Fiction""}"," The story follows the progress of a group of disaffected computer wizards (called ""warlocks"" in the story) who are early adopters of a new full-immersion virtual reality technology, called the ""Other Plane"". Forming a cabal, they must keep their true identities – their True Names – secret even to each other and to avoid prosecution by their ""Great Adversary"" – the government of the United States. The protagonist is one of these warlocks. Known as ""Mr. Slippery"" in the Other Plane; his True Name is Roger Pollack. When a new warlock arrives in the Other Plane and begins to recruit other warlocks for a scheme in which the domination of cyberspace can be used to exert power in the real world, Mr. Slippery is forced to ally himself with the Great Adversary."
The Postman Always Rings Twice,James M. Cain,"{""/m/02n4kr"": ""Mystery"", ""/m/02xlf"": ""Fiction""}"," The story is narrated in the first person by Frank Chambers, a young drifter who stops at a rural California diner for a meal, and ends up working there. The diner is operated by a young, beautiful woman, Cora, and her much older husband, Nick Papadakis, sometimes called ""the Greek"". There is an immediate attraction between Frank and Cora, and they begin a passionate affair with sadomasochistic qualities (when they first embrace, Cora commands Frank to bite her lip, and Frank does so hard enough to draw blood). Cora, a femme fatale figure, is tired of her situation, married to a man she does not love, and working at a diner that she wishes to own and improve. Frank and Cora scheme to murder the Greek in order to start a new life together without Cora losing the diner. They plan on striking Nick's head and making it seem he fell and drowned in the bathtub. Cora fells Nick with a solid blow, but, due to a sudden power outage and the appearance of a policeman, the scheme fails. Nick recovers and because of retrograde amnesia does not suspect that he narrowly avoided being killed. Determined to kill Nick, Frank and Cora fake a car accident. They ply Nick with wine, strike him on the head, and crash the car. Frank and Cora are injured. The local prosecutor suspects what has actually occurred, but doesn't have enough evidence to prove it. As a tactic intended to get Cora and Frank to turn on one another, he charges only Cora with the crime of Nick's murder, coercing Frank to sign a complaint against her. Cora, furious and indignant, insists upon offering a full confession detailing both their roles. Her lawyer tricks her into dictating that confession to a member of his own staff. Cora, believing her confession made, returns to prison. Though Cora would be sure to learn of the trickery, a few valuable hours are gained. The lawyer uses the time to manipulate those financially interested in the trial to have their private detective recant his testimony, which was the final remaining weapon in the prosecution's arsenal. The state is forced to grant Cora a plea agreement, under which she is given a suspended sentence and no jail time. Frank and Cora patch things up and plan a happy-family future. Then Cora is killed in a car accident while Frank is driving. The book ends with Frank, from death row, summarizing the events that followed, explaining that he was wrongly convicted of having murdered Cora. The text, he hopes, will be published after his execution."
Siddhartha,Hermann Hesse,"{""/m/02xlf"": ""Fiction""}","The story takes place in ancient India around the time of Gotama Buddha (likely between the fourth and seventh centuries BCE). Siddhartha, the son of a Brahmin, decides to leave behind his home in the hopes of gaining spiritual illumination by becoming an ascetic wandering beggar of the Samanas. Joined by his best friend Govinda, Siddhartha fasts, becomes homeless, renounces all personal possessions, and intensely meditates, eventually seeking and personally speaking with Gotama, the famous Buddha, or Enlightened One. Afterward, both Siddhartha and Govinda acknowledge the elegance of the Buddha's teachings. Although Govinda hastily joins the Buddha's order, Siddhartha does not follow, claiming that the Buddha's philosophy, however supremely wise, does not account for the necessarily distinct experiences of each person. He argues that the individual seeks an absolutely unique and personal meaning that cannot be presented to him by a teacher; he thus resolves to carry on his quest alone. Siddhartha crosses a river and the generous ferryman, who Siddhartha is unable to pay, merrily predicts that Siddhartha will return to the river later to compensate him in some way. Venturing onward toward city life, Siddhartha discovers Kamala, the most beautiful woman he has yet seen. Kamala, a courtesan of affluent men, notes Siddhartha's handsome appearance and fast wit, telling him that he must become wealthy to win her affections so that she may teach him the art of love. Although Siddhartha despised materialistic pursuits as a Samana, he agrees now to Kamala's suggestions. She directs him to the employ of Kamaswami, a local businessman, and insists that he have Kamaswami treat him as an equal rather than an underling. Siddhartha easily succeeds, providing a voice of patience and tranquility against Kamaswami's fits of passion, which Siddhartha learned from his days as an ascetic. Thus, Siddhartha becomes a rich man and Kamala's lover, though in his middle years realizes that the luxurious lifestyle he has chosen is merely a game, empty of spiritual fulfillment. Leaving the fast-paced bustle of the city, Siddhartha returns to the river and thinks of killing himself. He is saved only by an internal experience of the holy word, Om. The very next morning Siddhartha briefly reconnects with Govinda, who is passing through the area and remains a wandering Buddhist. In light of his mid-life crisis, Siddhartha decides to live out the rest of his life in the presence of the spiritually inspirational river. Siddhartha thus reunites with the ferryman, named Vasudeva, with whom he begins a humbler way of life. Although Vasudeva is a simple man, he understands and relates that the river has many voices and significant messages to divulge to any who might listen. Some years later, Kamala, now a Buddhist convert, is travelling to see the Buddha at his deathbed, escorted reluctantly by her young son, when she is bitten by a venomous snake near Siddhartha's river. Siddhartha recognizes her and realizes that the boy is his own child. After Kamala's death, Siddhartha attempts to console and raise the furiously resistant boy, until one day the child flees altogether. Although Siddhartha is desperate to find his runaway son, Vasudeva urges him to let the boy find his own path, much like Siddhartha did himself in his youth. Listening to the river with Vasudeva, Siddhartha realizes that time is an illusion and that all of his feelings and experiences, even those of suffering, are part of a great and ultimately jubilant fellowship of all things connected in the cyclical unity of nature. With Siddhartha's moment of illumination, Vasudeva claims that his work is done and he must depart into the woods, leaving Siddhartha peacefully fulfilled and alone once more. Toward the end of his life, Govinda hears about an enlightened ferryman and travels to Siddhartha, not initially recognizing him as his old childhood friend. Govinda asks the now-elderly Siddhartha to relate his wisdom and Siddhartha replies that for every true statement there is an opposite one that is also true; that language and the confines of time lead people to adhere to one fixed belief that does not account for the fullness of the truth. Because nature works in a self-sustaining cycle, every entity carries in it the potential for its opposite and so the world must always be considered complete. Siddhartha simply urges people to identify and love the world in its completeness. Siddhartha then oddly requests that Govinda kiss his forehead and, when he does, Govinda experiences the visions of timelessness that Siddhartha himself saw with Vasudeva by the river. Govinda bows to his wise friend and Siddhartha smiles radiantly, having found enlightenment."
Foundation and Empire,Isaac Asimov,"{""/m/06n90"": ""Science Fiction"", ""/m/02xlf"": ""Fiction""}"," The first half of the book, titled ""The General,"" tells how the Galactic Empire, now well into its collapse but led by skilled General Bel Riose, launches an attack against the Foundation. The Empire still retains far more resources and personnel than the Foundation and Riose is willing to use that advantage to its fullest. Devers, a native of the Foundation, intercepts a message that summarizes the General's doings, and escapes to Trantor, trying to see the emperor and show him the message. He fails and is nearly killed, but the emperor finds out anyway. In the end, the emperor decides that Riose is a threat to his status and to the balance of the Empire and has him executed. Psychohistory gives members of the Foundation a full understanding of the struggle for power between generals and emperors that takes place inside the Empire. The characters of Emperor Cleon II and Bel Riose in this story are based on those of the historical Roman Emperor Justinian I and his general Belisarius. Their story was familiar to Asimov from his recent reading of Robert Graves's novel Count Belisarius, and of his earlier study of Edward Gibbon's History of the Decline and Fall of the Roman Empire, on which the entire series is loosely based. ""The General"" was first published in the April 1945 issue of Astounding Science Fiction under the title ""Dead Hand"". The second half of the book, titled ""The Mule,"" takes place approximately one hundred years after the first half. The Empire has ceased to exist, Trantor has been sacked by a ""barbarian fleet"", and only a small rump state of 20 agricultural planets remain. Most of the Galaxy has split into barbaric kingdoms. The Empire entered into an even more rapid phase of decline and civil wars. The Foundation has become the dominant power in the Galaxy, controlling its regions through its trading network. Leadership of the Foundation has become degenerate. In response to the internal corruption within the Foundation, roughly 30 outer planets belonging to the Foundation who have become wealthy on their own through extensive trade begin to plan a secession war against the Foundation. In addition, an external threat arises in the form of a mysterious man who is known only as the Mule. The Mule (whose real name is never revealed) is a mutant, and possesses the ability to sense and manipulate the emotions of others, usually creating fear and/or total devotion within his victims. He uses this ability to take over the independent systems bordering the Foundation, and has them wage a war against it. The Foundation is incapable of fighting back and as the Mule advances, leadership in the Foundation assumes that Hari Seldon predicted this attack, and that the scheduled hologram crisis message appearance of Hari Seldon would tell them how to win, just like with Bel Riose. To their surprise, they see the tape run and discover Seldon never predicted the existence of the Mule. Foundation citizens Toran and Bayta Darell along with psychologist Ebling Mis and refugee clown named ""Magnifico Giganticus"" travel to different worlds of the Foundation, and finally to the Great Library of Trantor. The Darells and Mis seek to contact the Second Foundation, which they believe will be able to defeat the Mule. They also have suspicion the Mule wishes to know the location of the Second Foundation so that he can use the First Foundation's technology to destroy it. At the Great Library, Ebling Mis works continuously until his health fatally deteriorates. As Mis lies dying, he tells Toran, Bayta, and Magnifico that he knows where the Second Foundation is. Just before he reveals the Second Foundation's location, however, Bayta kills him. Bayta had shortly before realized that Magnifico was actually the Mule, who had used his powers in every planet they had visited before. In the same way he had forced Mis to continue working and find what the Mule was looking for. Bayta killed Mis to prevent him from revealing the Second Foundation's whereabouts to the Mule. The Darells are left on Trantor. The Mule leaves to reign over the Foundation and the rest of his new empire. Existence of the Second Foundation, as an organization centered on the science of psychology and mentalics, in contrast to the Foundation's focus on physical sciences, is now known to the Darells and the Mule. Now that the Mule has conquered the Foundation he stands as the most powerful force in the galaxy, and the Second Foundation is the only threat to his eventual rule over the entire galaxy. The Mule promises that he will find the Second Foundation, while Bayta asserts that he will not have enough time before the Second Foundation reacts. ""The Mule"" was first published in the November and December 1945 issues of Astounding Science Fiction."
Equal Rites,Terry Pratchett,"{""/m/06n90"": ""Science Fiction"", ""/m/01hmnh"": ""Fantasy"", ""/m/02xlf"": ""Fiction""}","The wizard Drum Billet knows that he will soon die and travels to a place where an eighth son of an eighth son is about to be born. This signifies that the child is destined to become a wizard; on the Discworld, the number eight has many of the magical properties that are sometimes ascribed to seven in other mythologies. Billet wants to pass his wizard's staff on to his successor. However, the newborn child is actually a girl, Esk (full name Eskarina Smith). Since Billet notices his mistake too late, the staff passes on to her. As Esk grows up, it becomes apparent that she has uncontrollable powers, and the local witch Granny Weatherwax decides to travel with her to the Unseen University in Ankh-Morpork to help her gain the knowledge required to properly manage her powers. But a female wizard is something completely unheard of on the Discworld. Esk is unsuccessful in her first, direct, attempt to gain entry to the University, but Granny Weatherwax finds another way in; as a servant. While there, Esk witnesses the progress of an apprentice wizard named Simon, whom she had met earlier, on her way to Ankh-Morpork. Simon is a natural talent who invents a whole new way of looking at the universe that reduces it to component numbers. His magic, however, is so powerful that it causes a hole to be opened into the Dungeon Dimensions. Eskarina and Simon discover the weakness of the creatures from the Dungeon Dimensions - if you can use magic, but don't, they become scared and weakened. They both manage to transport themselves back into the Discworld. Together they develop a new kind of magic, based on the notion that the greatest power is the ability not to use all the others."
Guards! Guards!,Terry Pratchett,"{""/m/06n90"": ""Science Fiction"", ""/m/01hmnh"": ""Fantasy"", ""/m/02xlf"": ""Fiction""}"," The story follows a plot by a secret brotherhood, the Unique and Supreme Lodge of the Elucidated Brethren of the Ebon Night, to overthrow the Patrician of Ankh-Morpork and install a puppet king, under the control of the Supreme Grand Master. Using a stolen magic book, they summon a dragon to strike fear into the people of Ankh-Morpork. Once a suitable state of terror and panic has been created, the Supreme Grand Master proposes to put forth an ""heir"" to the throne, who will slay the dragon and rid the city of tyranny. It is the task of the Night Watch &ndash; Captain Vimes, Sergeant Colon, Corporal Nobbs, and new volunteer Carrot Ironfoundersson &ndash; to stop them, with some help from the Librarian of the Unseen University, an orangutan trying to get the stolen book back. The Watch is in bad condition; they are regarded as a bunch of incompetents who just walk around ringing their bells, and this is mostly true. The arrival of Carrot changes this; Carrot has memorised the Laws and Ordinances of the Cities of Ankh and Morpork, and on his first day tries to arrest the head of the Thieves' Guild for theft (the Thieves' Guild is permitted a quota of legally licensed thieving, a concept that the book of ancient Laws does not take into account). Carrot's enthusiasm strikes a chord with Vimes; the Watch should prevent crime, not ignore it. Vimes begins investigating the dragon's appearances, which leads to an acquaintance with Sybil Ramkin, a breeder of swamp dragons. Ramkin gives an underdeveloped dragon, Errol, to the Watch as a mascot. The leader of the Elucidated Brethren is initially successful in controlling the dragon, but he has not accounted for the dragon's own abilities. The banished dragon returns, and makes itself king of Ankh-Morpork (keeping the head of the Elucidated Brethren as its mouthpiece) and demands that the people of Ankh-Morpork bring it gold and regular virgin sacrifices. Shortly after, Vimes is imprisoned in the same cell as the Patrician, who has been leading a relatively comfortable life with the help of the rats he uses as spies. The Librarian helps Vimes to escape and he runs to the aid of Sybil, who has been chosen as the first virgin to be sacrificed. The Watch's swamp dragon, Errol, reorganises his digestive system to form a supersonic jet engine and fights the king, eventually knocking the king out of the sky with a shock wave. As the assembled crowd closes in on the king for the kill, Sybil tries to plead for its life. Carrot instead places it under arrest, however Errol lets the dragon escape, revealing that the dragon is in fact female, the battle between the two in fact being a courtship ritual. Sam Vimes proceeds to arrest Lupine Wonse, but accidentally causes the man's death when he told Carrot to ""throw the book at him."" The man was attempting to summon another dragon, and died from falling off a broken floor after being hit by the Laws and Ordinances of Ankh-Morpork. The Patrician is reinstated as ruler of Ankh-Morpork, and offers the Watch anything they want as a reward. They ask only for a modest pay raise, a new tea kettle and a dartboard."
Pyramids,Terry Pratchett,"{""/m/06n90"": ""Science Fiction"", ""/m/01hmnh"": ""Fantasy"", ""/m/02xlf"": ""Fiction""}"," The main character of Pyramids is Teppic, prince of the tiny kingdom of Djelibeybi. Djelibeybi is the Discworld counterpart to Ancient Egypt. Young Teppic has been in training at the Assassins Guild in Ankh-Morpork for several years. The day after passing his final exam he somehow senses that his father has died and that he must return home. Being the first Djelibeybian king raised outside the kingdom leads to some interesting problems, based on the fact that Dios, the high priest, is a stickler for tradition, and does not, in fact, allow the pharaohs to rule the country. After numerous adventures and misunderstandings, Teppic is forced to escape from the palace, along with a handmaiden named Ptraci. Meanwhile, the massive pyramid being built for Teppic's father warps space-time so much that it ""rotates"" Djelebeybi out of alignment with the space/time of the rest of the disc by 90 degrees. Teppic and Ptraci travel to Ephebe to consult with the philosophers there as to how to get back inside the Kingdom. Meanwhile, pandemonium takes hold in Djelibeybi, as the kingdom's multifarious gods descend upon the populace, and all of Djelibeybi's dead rulers come back to life. Eventually, Teppic re-enters the Kingdom and attempts to destroy the Great Pyramid, with the help of all of his newly resurrected ancestors. They are confronted by Dios, who, it turns out, is as old as the kingdom itself, and has advised every pharaoh in the history of the Kingdom. Dios hates change and thinks Djelibeybi should stay the same. Teppic succeeds in destroying the Pyramid, returning Djelibeybi to the real world and sending Dios back through time (where he meets the original founder of the Kingdom, thereby re-starting the cycle). Teppic then abdicates, allowing Ptraci (who turns out to be his half-sister) to rule. Ptraci immediately institutes much-needed changes."
The Monkey's Paw,W. W. Jacobs,"{""/m/039vk"": ""Other""}"," The story involves Mr. and Mrs. White and their adult son Herbert. Sergeant-Major Morris, a friend of the Whites who has been part of the British Armed Forces in India, leaves them with the monkey's paw, telling of its mysterious powers to grant three wishes, and of its journey from an old fakir to his comrade, who used his third and final wish to wish for death. Mr. White wishes for £200 to be used as the final payment on his house. Following that, Herbert is killed by machinery at his company, but they do get compensation of £200. Ten days after the funeral, Mrs. White, almost mad with grief, asks her husband to wish Herbert back to life with the paw. Reluctantly, he does so. After a delay, there is a knock at the door. Mrs. White fumbles at the locks in an attempt to open the door. Mr. White knows, however, that he cannot allow their son in, as his appearance will be too grotesque. Mr. White was required to witness and identify the body, which had been mutilated by the accident and then buried for more than a week. He wishes his third wish for Herbert to remain dead, and the knocking stops. Mrs. White opens the door to find no one there. The theme of the story is contained in this description of the paw: '""It had a spell put on it by an old fakir,"" said the sergeant-major, ""a very holy man. He wanted to show that fate ruled people's lives, and that those who interfered with it did so to their sorrow."""
The Master and Margarita,Mikhail Bulgakov,"{""/m/039vk"": ""Other""}"," The novel alternates between two settings. The first is 1930s Moscow, which is visited by Satan in the guise of ""Professor"" Woland or Voland (Воланд), a mysterious gentleman ""magician"" of uncertain origin, who arrives with a retinue that includes the grotesquely dressed ""ex-choirmaster"" valet Koroviev (Fagotto) (Фагот, the name means ""bassoon"" in Russian among other languages, from the Italian word fagotto), a mischievous, gun-happy, fast-talking black cat Behemoth (Бегемот, a subversive Puss in Boots, the name referring at once to the Biblical monster and the Russian word for Hippopotamus), the fanged hitman Azazello (Азазелло, hinting of Azazel), the pale-faced Abadonna (Абадонна, a reference to Abaddon) with a death-inflicting stare, and the witch Hella (Гелла). The havoc wreaked by this group targets the literary elite, along with its trade union, MASSOLIT. MASSOLIT is a Soviet-style abbreviation for ""Moscow Association of Writers"", Московская ассоциация литераторов, but possibly interpretable as ""Literature for the Masses""; one translation of the book also mentions that this could be a play on words in Russian, which could be translated into English as something like ""LOTSALIT""), its privileged HQ Griboyedov's House, corrupt social-climbers and their women (wives and mistresses alike) – bureaucrats and profiteers – and, more generally, skeptical unbelievers in the human spirit. The second setting is the Jerusalem of Pontius Pilate, described by Woland talking to Berlioz and later echoed in the pages of the Master's novel. It concerns Pontius Pilate's trial of Yeshua Ha-Notsri (Иешуа га-Ноцри, Jesus the Nazarene), his recognition of an affinity with and spiritual need for Yeshua, and his reluctant but resigned submission to Yeshua's execution. Part one of the novel opens with a direct confrontation between the unbelieving head of the literary bureaucracy, Berlioz (Берлиоз), and an urbane foreign gentleman who defends belief and reveals his prophetic powers (Woland). Berlioz brushes the prophecy of his death off, only to have it come true just pages later in the novel. This fulfillment of a death prophecy is witnessed by a young and enthusiastically modern poet, Ivan Ponyrev, who writes his poems under the alias Bezdomniy (Иван Бездомный – the name means ""Homeless""). His futile attempt to chase and capture the ""gang"" and warn of their evil and mysterious nature lands Ivan in a lunatic asylum. Here, Ivan is later introduced to The Master, an embittered author, the petty-minded rejection of whose historical novel about Pontius Pilate and Christ led him to such despair that he burns his manuscript and turns his back on the ""real"" world, including his devoted lover, Margarita (Маргарита). Major episodes in the first part of the novel include a satirical portrait of the Massolit and their Griboedov house;Satan's magic show at the Variety Theatre, satirizing the vanity, greed and gullibility of the new rich; and Woland and his retinue capturing the late Berlioz's apartment for their own use. Part two of the novel introduces Margarita, the Master's mistress, who refuses to despair of her lover or his work. She is invited to the Devil's midnight ball, where Satan (Woland) offers her the chance to become a witch with supernatural powers. This coincides with the night of Good Friday since the Master's novel also deals with this same spring full moon when Christ's fate is sealed by Pontius Pilate and he is crucified in Jerusalem. All three events in the novel are linked by this. Learning to fly and control her unleashed passions (not without exacting violent retribution on the literary bureaucrats who condemned her beloved to despair), and taking her enthusiastic maid Natasha with her, Margarita enters naked into the realm of night. She flies over the deep forests and rivers of the USSR; bathes and returns with Azazello, her escort, to Moscow as the anointed hostess for Satan's great Spring Ball. Standing by his side, she welcomes the dark celebrities of human history as they arrive from Hell. She survives this ordeal without breaking, and for her pains, Satan offers to grant Margarita her deepest wish. Margarita selflessly chooses to liberate a woman whom she met at the ball from the woman's eternal punishment: the woman was raped and had later suffocated her newborn by stuffing a handkerchief in its mouth. Her punishment was to wake up every morning and find the same handkerchief lying on her nightstand. Satan grants her first wish and offers her another, citing that the first wish was unrelated to Margarita's own desires. For her second wish, she chooses to liberate the Master and live in poverty-stricken love with him. Neither Woland nor Yeshua appreciate her chosen way of life. Azazello is sent to retrieve them. The three drink Pontius Pilate's poisoned wine in the Master's basement. Master and Margarita die, though their death is metaphorical as Azazello watches their physical manifestations die. Azazello reawakens them and they leave civilization with the Devil as Moscow's cupolas and windows burn in the setting Easter sun. The Master and Margarita, for not having lost their faith in humanity, are granted ""peace"" but are denied ""light"" – that is, they will spend eternity together in a shadowy yet pleasant region similar to Dante's depiction of Limbo, having not earned the glories of Heaven, but not deserving the punishments of Hell. As a parallel to the Master and Margarita's freedom, Pontius Pilate is released from his eternal punishment when the Master finally calls out to Pontius Pilate telling him he's free to finally walk up the moonbeam path in his dreams to Yeshua, where another eternity awaits."
Disgrace,John Maxwell Coetzee,"{""/m/039vk"": ""Other""}"," David Lurie is a South African professor of English who loses everything: his reputation, his job, his peace of mind, his good looks, his dreams of artistic success, and finally even his ability to protect his own daughter. He is twice-divorced and dissatisfied with his job as a 'communications' lecturer, teaching one class in romantic literature at a technical university in Cape Town in post-apartheid South Africa. His ""disgrace"" comes when he almost forcibly seduces one of his more vulnerable students which is thereafter revealed to the school and a committee is convened to pass judgement on his actions. David refuses to apologize in any sincere form and so is forced to resign from his both. Lurie is working on a play concerning Lord Byron's final phase of life in Italy which mirrors his own life in that Byron is living a life of hedonism and excess and is having an affair with a married women, and ""the irony is that he comes to grief from an escapade that Byron would have thought distinctly timid."" He is dismissed from his teaching position, after which he takes refuge on his daughter's farm in the Eastern Cape. For a time, his daughter's influence and natural rhythms of the farm promise to harmonise his discordant life. But the balance of power in the country is shifting. Shortly after becoming comfortable with rural life, he is forced to come to terms with the aftermath of an attack on the farm in which his daughter is raped and impregnated and he is violently assaulted. The novel also concerns David's interaction with a few other characters- Bev, an animal welfare and healer of sorts, and Lucy's former farmhand, the self-described ""dog-man"" who lives on the neighbouring property, who took care of his daughters dogs. David remains on the farm far past his welcome in order to try to keep his daughter safe, but instead finds himself apathetic and demoralized yet on a journey towards redemption."
The Lords of Discipline,Pat Conroy,"{""/m/02xlf"": ""Fiction""}","The novel's narrator, Will McLean, attends the Carolina Military Institute (a fictional military college based on The Citadel) in Charleston, from 1963 to 1967. The novel takes place in four parts. The first describes the beginning of his senior year and the admission of new freshmen into the plebe system. The second is an extensive flashback into his own plebe year. The third focuses on the main body of his senior year and his conflict with the plebe system. The fourth and final part relates to Will's battle against the mysterious Ten."
Out of the Silent Planet,C. S. Lewis,"{""/m/06n90"": ""Science Fiction"", ""/m/02xlf"": ""Fiction""}"," The story begins with Dr. Elwin Ransom, a professor of philology at a college of the University of Cambridge, on a hiking trip in the English Midlands. Being refused lodging in the village of Nadderby he must travel into the Day the six miles to Sterk. He comes to a small, isolated cottage, the home of a woman and her mentally subnormal son, Harry. The anxious woman thinks Ransom is Harry and runs into him as he comes toward the cottage. She implicitly declines to accommodate Ransom, but tells him about where Harry works, the Rise, the small estate of Professor Weston. She also speaks of a gentleman from London staying there, Mr. Devine, whom Ransom discovers to be his former schoolfellow, a person whom he ""cordially disliked."" Despite the woman's doubt that Ransom would find lodging, he decides to go there anyway, assuring the woman that he will see to it that Harry is sent home. When he gets to the front door of the Rise, Ransom hears shouting and struggling inside. When he goes around back, he sees Weston and Devine trying to force Harry to enter a structure on the property (""It weren't the wash-house,"" Harry insists) against his will. Ransom intervenes in the struggle, and Devine sees him as a better prospect than Harry for what he and Weston have in mind. With Weston's grudging consent Devine offers Ransom a drink and accommodations for the night. After enjoying what he thinks is a glass of whisky and soda, Ransom loses consciousness. When he awakens shortly thereafter he realizes that he has been drugged. He tries to escape but is subdued by Weston and Devine. When he again regains consciousness he finds himself in a metallic spherical spacecraft en route to a planet called Malacandra. The wonder and excitement of such a prospect relieves his anguish at being kidnapped, but Ransom is put on his guard when he overhears Weston and Devine deliberating whether they will again drug him or keep him conscious when they turn him over to the inhabitants of Malacandra, the sorns, as a sacrifice. Ransom, who has been put to work as cook and scullion, appropriates a knife and plans to escape when he gets the chance. Soon after the three land on the strange planet, Ransom gets his chance to run off into the unknown landscape, just after he sees the Sorns. He wanders around, finding many differences between Earth and Malacandra, in that all the lakes, streams, and rivers are warm; the gravity is significantly less; and the plants and mountains are strangely tall and thin. Ransom later meets a civilized native of Malacandra, a hross named Hyoi, a tall and well-formed creature. He becomes a guest for several months in Hyoi's village, where he uses his philological skills to learn the language of the hrossa and learns their culture. In the process he discovers that gold, known to the hrossa as ""sun's blood"", is plentiful on Malacandra, and thus is able to discern Devine's motivation for making the voyage thither. Weston's motives are shown to be more complex; he is bent on expanding humanity through the universe, abandoning each planet and star system as it becomes uninhabitable. The hrossa honour Ransom greatly by asking him to join them in a hunt for a hnakra (plural hnéraki), a fierce water-creature which seems to be the only dangerous predator on the planet, resembling both a shark and a crocodile. While hunting, Ransom is told by an eldil, an almost invisible creature reminiscent of a spirit or deva, that he must meet Oyarsa, the eldil who is ruler of the planet. He hesitates to respond to the summons, as he wishes to proceed with the hunt. Hyoi, after killing the hnakra with Ransom's help, is shot dead by Devine and Weston, who are seeking Ransom in order to take him prisoner and hand him over to the séroni. Ransom is told by Hyoi's friend (another hross named Whin) that this is the consequence of disobeying Oyarsa, and that Ransom must now cross the mountains to escape Weston and Devine and fulfil his orders. On his journey, Ransom finally meets a sorn, as he long feared he might. He finds, however, that the séroni are peaceful and kindly. Augray (the sorn) explains to him the nature of Oyarsa's body, and that of all eldila. The next day, carrying the human on his shoulders, Augray takes Ransom to Oyarsa. After a stop at the dwelling place of an esteemed sorn scientist, wherein Ransom is questioned thoroughly regarding all manner of facts about Earth, Ransom finally makes it to Meldilorn, the home of Oyarsa. In Meldilorn, Ransom meets a pfifltrigg who tells him of the beautiful houses and artwork his race make in their native forests. Ransom then is led to Oyarsa and a long-awaited conversation begins. In the course of this conversation it is explained that there are Oyéresu (the plural) for each of the planets in our solar system; in the four inner planets, which have organic life (intelligent and non-intelligent), the local Oyarsa is responsible for that life. The ruler of Earth (Thulcandra, ""the silent planet""), has turned evil (become ""bent"") and has been restricted to Thulcandra, after ""great war,"" by the Oyéresu and the authority of Maleldil, the ruler of the universe. Ransom is ashamed at how little he can tell Oyarsa about Earth and how foolish he and other humans seem to Oyarsa. While the two are talking, Devine and Weston are brought in guarded by hrossa, because they have killed three of that race. Oyarsa then directs a pfifltrigg to ""scatter the movements that were"" the bodies of Hyoi and the two other hrossa, using a small, crystalline instrument; once touched with this instrument, the bodies vanish. Weston is summoned to Oyarsa's presence and makes a long speech justifying his proposed invasion of Malacandra on progressive and evolutionary grounds, which Ransom attempts to translate into Malacandrian, thus laying bare the brutality and crudity of Weston's ambitions. Oyarsa listens carefully to Weston's speech and acknowledges that the scientist is acting out of a sense of duty to his species, and not mere greed. This renders him more mercifully disposed towards the scientist, who accepts that he may die while giving Man the means to continue. However, on closer examination Oyarsa points out that Weston's loyalty is not to Man's mind - or he would value equally the alien minds already inhabiting Malacandra, instead of seeking to displace them in favour of humanity - nor to Man's body - since, as Weston is well aware of and at ease with, Man's physical form will alter over time, and indeed would have to in order to adapt to Weston's programme of space exploration and colonisation. It seems then that Weston is loyal only to ""the seed"" - Man's DNA - which he seeks to propagate. Here Weston's eloquence fails him and he can only articulate that if Oyarsa does not understand Man's basic loyalty to Man then he, Weston, cannot possibly instruct him. Oyarsa, passing judgment, tells Weston and Devine that he would not tolerate the presence of such creatures, but lets them leave the planet immediately, albeit under very unfavourable orbital conditions. To Ransom, Oyarsa offers him the option of staying on Malacandra. He decides he does not belong there, perhaps because he feels himself unworthy and perhaps because he yearns to be back among the human beings of earth. Oyarsa gives the men ninety days of air and other supplies, telling the Thulcandrians that after ninety days, the ship will disintegrate; either way, they will never return to Malacandra. Weston and Devine do not further harm Ransom, focussing their attention on the perilous journey home. Oyarsa had promised Ransom that the eldila of ""deep heaven"" would watch over and protect him against any attacks from the other two Thulcandrians, who might seek to kill him as a way of economizing their air and food supplies; at times, Ransom is conscious of benevolent presences within the spaceship—the eldila. After a difficult return journey, the space-ship makes it back to Earth, and is shortly ""unbodied"" according to Oyarsa's will. Ransom himself half-doubts whether all that happened was true, and he realizes that others will be even less inclined to believe it if he should speak of it. However, when the author (Lewis) writes him asking whether he has heard of the medieval Latin word ""Oyarses"" and knows what it meant, he lets him in on the secret. Ransom then dedicates himself to the mission that Oyarsa gave him before he left Malacandra of stopping Weston from further evil. The storyline may have been influenced by H. G. Wells's First Men in the Moon, which Lewis described as ""The best of the sort Science Fiction I have read...."" in a letter to Roger Lancelyn Green. Wells's book, like Lewis's, reaches its climax with a meeting between an Earthman and the wise ruler of an alien world, during which the Earthman makes very ill-considered boasts of his species' military prowess. The characters of Weston and Devine might be, in general, dark versions of Wells's Cavor and Bradford. In both books, a scientist with a wide-ranging mind forms a partnership with an eminently practical man who has a special attraction to extraterrestrial bars of gold, and they quietly build themselves a spaceship in the English countryside. In both stories, the interplanetary craft are spherical, though only Lewis' is called a ""space-ship"". According to the Oxford English Dictionary, J. J. Astor in his A Journey in Other Worlds first used the term ""space-ship"" in 1894, but Lewis was the fourth person to use the term in published material."
